;LAnkle_c;LAnkle_x;LAnkle_y;LEar_c;LEar_x;LEar_y;LElbow_c;LElbow_x;LElbow_y;LEye_c;LEye_x;LEye_y;LHip_c;LHip_x;LHip_y;LKnee_c;LKnee_x;LKnee_y;LShoulder_c;LShoulder_x;LShoulder_y;LWrist_c;LWrist_x;LWrist_y;Neck_c;Neck_x;Neck_y;Nose_c;Nose_x;Nose_y;RAnkle_c;RAnkle_x;RAnkle_y;REar_c;REar_x;REar_y;RElbow_c;RElbow_x;RElbow_y;REye_c;REye_x;REye_y;RHip_c;RHip_x;RHip_y;RKnee_c;RKnee_x;RKnee_y;RShoulder_c;RShoulder_x;RShoulder_y;RWrist_c;RWrist_x;RWrist_y
23;0.528955;617.682;715.624;0.887085;603.966;382.543;0.966346;633.239;507.882;0.890597;592.145;370.815;0.775418;611.74;541.288;0.844199;633.387;584.331;0.832632;631.276;435.477;0.452932;599.947;472.684;0.944808;586.299;437.424;0.944037;586.222;382.48;0.663577;539.266;715.603;0.925125;558.847;384.465;0.954208;539.337;509.836;0.941476;572.604;370.86;0.799663;554.839;541.234;0.837643;523.582;580.407;0.851808;541.303;439.313;0.779423;594.084;464.873
24;0.545299;617.687;715.617;0.882186;604.007;382.611;0.959692;631.374;507.936;0.862484;596.034;374.705;0.770131;609.822;541.319;0.854316;635.199;586.191;0.827866;629.406;437.369;0.438932;600.003;476.525;0.943351;586.31;437.409;0.960286;586.334;382.603;0.674354;539.247;715.596;0.925335;558.898;384.487;0.940986;539.242;509.844;0.883712;574.529;374.729;0.809235;554.838;541.254;0.838552;523.588;578.484;0.837075;541.32;437.391;0.796436;594.095;470.674
25;0.507037;617.641;715.634;0.934056;598.031;382.513;0.901004;619.698;515.749;0.892724;584.287;380.603;0.759579;605.922;541.304;0.849775;633.201;586.216;0.834485;623.552;433.53;0.459033;576.522;472.625;0.881031;580.395;435.456;0.877868;572.606;386.514;0.671957;539.22;715.595;0.910776;554.841;384.444;0.875235;531.393;521.636;0.871802;564.761;382.475;0.784006;547.133;543.187;0.850005;523.624;580.399;0.867651;539.177;439.359;0.839589;586.278;476.586
26;0.46089;613.714;715.643;0.912806;586.231;396.16;0.964613;617.7;527.531;0.924806;568.572;400.142;0.737278;603.842;543.174;0.875409;633.345;588.237;0.821186;619.529;439.34;0.408288;586.251;502.017;0.909297;572.477;443.193;0.954735;556.813;413.948;0.680075;541.17;703.864;0.46723;529.504;400.219;0.902379;523.504;527.509;0.938991;541.326;402.168;0.759411;543.158;545.125;0.852503;525.469;584.347;0.878042;525.5;443.299;0.759135;576.471;502.062
27;0.595636;617.583;715.631;0.944818;588.156;292.4;0.783666;623.544;443.272;0.765273;564.699;292.487;0.755172;615.658;494.225;0.756984;629.413;590.224;0.817128;621.537;349.236;0.140409;586.261;425.541;0.942081;572.55;353.105;0.830867;554.938;306.113;0.644923;539.313;715.612;0.420394;537.265;300.275;0.905595;523.674;445.186;0.822069;543.205;296.322;0.771472;541.217;494.263;0.764899;531.456;601.939;0.864779;523.662;355.136;0.811274;586.237;406.026
28;0.542822;615.681;715.633;0.957226;601.84;225.712;0.886905;633.345;370.783;0.903621;584.292;212.183;0.699851;617.566;460.934;0.77892;621.544;600.028;0.867926;633.267;288.461;0.434093;574.568;335.479;0.941918;582.316;290.41;0.920799;572.538;225.77;0.48435;541.194;715.626;0.879689;549.06;227.758;0.911503;525.638;382.43;0.878976;558.902;215.973;0.689156;541.21;462.812;0.722281;537.269;599.975;0.862288;527.545;290.539;0.928922;588.2;331.566
29;0.533596;615.671;715.639;0.932628;605.838;225.746;0.892396;635.326;364.912;0.934341;590.233;211.997;0.689817;617.631;460.931;0.781067;619.656;603.995;0.895853;635.238;288.573;0.549571;586.318;323.743;0.953593;586.188;290.403;0.834494;582.394;221.827;0.539005;539.307;715.631;0.950138;554.948;225.745;0.912735;527.499;368.919;0.992003;570.61;210.191;0.658203;541.283;460.932;0.763101;541.174;603.974;0.847126;533.402;290.432;0.815687;588.265;319.849
30;0.468514;615.626;715.641;0.86571;609.752;227.803;0.854982;637.2;362.968;0.89533;596.087;212.045;0.68776;617.674;462.863;0.754555;621.529;603.983;0.890051;637.18;290.484;0.519242;588.255;321.821;0.95644;586.292;290.482;0.860413;586.264;221.84;0.38447;541.152;715.643;0.907366;556.863;227.82;0.923465;527.516;368.815;0.974698;572.559;212.05;0.643706;543.156;462.876;0.728988;541.18;613.7;0.84099;535.353;290.477;0.814537;588.302;319.799
31;0.442784;615.631;715.642;0.887298;613.705;227.771;0.873129;637.216;364.902;0.902259;599.967;212.173;0.698511;619.543;462.807;0.74137;621.511;605.881;0.887766;637.183;292.402;0.50965;592.145;321.846;0.964898;586.373;292.376;0.899256;588.185;223.832;0.396209;539.276;715.642;0.885885;558.829;227.803;0.903504;529.451;368.865;0.931787;574.545;212.156;0.636562;543.225;462.864;0.721208;541.158;611.771;0.857753;537.327;290.517;0.811625;590.169;319.845
32;0.508065;615.683;715.637;0.908938;613.709;227.761;0.874569;637.212;364.93;0.889431;599.925;212.16;0.687372;619.56;462.856;0.750753;621.532;603.884;0.882017;637.206;292.4;0.448489;588.264;325.724;0.966869;588.162;292.369;0.893091;588.153;223.836;0.415637;539.264;715.64;0.882663;557.001;227.842;0.877651;529.489;368.925;0.939879;572.683;212.175;0.63742;545.136;462.893;0.70972;541.205;607.869;0.862814;539.179;290.531;0.852984;590.194;321.738
33;0.497802;615.692;715.639;0.883493;609.8;227.72;0.915668;635.353;366.796;0.868117;596.084;214.052;0.683591;619.514;462.854;0.759937;621.56;603.944;0.889741;635.322;292.432;0.470157;586.313;327.706;0.94358;586.275;292.442;0.920242;586.266;225.765;0.346321;541.177;715.648;0.919722;556.883;227.765;0.848128;527.59;372.759;0.945272;572.581;214.024;0.648967;543.217;462.88;0.725846;541.178;613.728;0.83691;537.267;292.4;0.858023;588.249;321.779
34;0.538698;615.686;715.637;0.91552;592.192;225.818;0.861851;631.317;370.823;0.872788;572.685;221.857;0.693037;617.546;460.857;0.796363;619.654;601.959;0.851704;629.356;290.37;0.483367;572.586;335.423;0.939268;574.552;290.559;0.853054;566.655;229.714;0.411026;539.242;715.639;0.840991;541.184;227.83;0.912102;523.679;384.555;0.927323;554.906;223.793;0.677524;541.251;460.862;0.769298;539.323;603.932;0.859124;525.524;296.362;0.813177;582.385;329.619
35;0.455717;615.658;715.64;0.931903;574.578;274.798;0.934762;619.519;415.926;0.870077;556.949;282.584;0.689949;607.804;484.396;0.780302;619.566;592.17;0.800732;615.637;327.643;0.400855;554.97;392.325;0.905971;560.821;335.436;0.804387;550.99;294.358;0.410992;537.259;715.635;0.786645;523.597;284.532;0.902536;511.874;429.624;0.886406;539.182;286.471;0.715627;537.322;482.439;0.768535;529.479;588.174;0.896797;509.928;337.482;0.826769;574.578;390.383
36;0.611065;615.69;715.624;0.869516;574.573;384.564;0.909967;619.57;507.908;0.852938;558.874;402.133;0.711736;604.005;523.577;0.830998;633.224;590.239;0.769298;613.705;417.773;0.395822;584.296;492.306;0.870893;558.889;419.749;0.833724;549.075;417.821;0.67879;541.251;715.598;0.521796;523.576;394.252;0.912388;511.892;507.96;0.89963;537.26;404.128;0.820289;541.213;523.632;0.793239;527.516;597.988;0.888842;509.842;427.581;0.821804;570.675;492.221
37;0.500753;619.552;715.634;0.91067;596.051;382.569;0.843026;623.546;519.666;0.882429;578.428;384.466;0.74059;613.668;543.241;0.815859;646.992;592.195;0.842697;625.474;431.437;0.457292;578.457;482.465;0.907981;576.474;431.524;0.949655;570.537;398.161;0.656714;539.224;715.601;0.79757;543.222;384.438;0.896005;527.472;521.622;0.958233;556.916;384.474;0.787571;552.916;543.182;0.874741;523.629;586.311;0.863686;527.554;431.593;0.814672;586.35;482.422
38;0.495736;617.595;715.637;0.924385;603.883;378.566;0.899567;631.276;509.906;0.949374;588.334;368.873;0.782229;609.79;541.297;0.81348;627.388;586.237;0.862321;629.365;431.485;0.436245;590.185;472.642;0.940501;584.314;431.52;0.876797;582.337;382.416;0.663788;539.274;715.6;0.921185;556.835;376.668;0.898409;529.492;509.893;0.97544;570.659;368.867;0.801857;549.078;541.271;0.839459;523.601;582.39;0.912988;539.243;431.555;0.868683;588.214;466.809
39;0.410596;615.687;715.646;0.864239;603.861;380.6;0.922328;631.377;505.942;0.905938;590.21;370.81;0.762231;611.775;543.174;0.81819;629.344;586.309;0.869234;629.408;431.588;0.428859;590.191;468.755;0.939841;586.211;433.451;0.940205;584.341;382.491;0.671729;539.305;715.606;0.969164;556.929;382.53;0.885943;535.335;507.948;0.965881;572.532;370.814;0.807324;552.913;541.312;0.820818;521.65;584.26;0.899872;541.175;433.505;0.864713;588.257;462.934
40;0.374613;617.576;715.648;0.90107;603.998;382.58;0.967191;633.35;507.893;0.873257;594.098;372.755;0.74682;607.887;543.232;0.806629;633.18;584.334;0.842386;629.393;433.527;0.475592;599.955;476.494;0.950154;586.28;435.395;0.971352;586.294;382.535;0.659749;539.306;715.61;0.931588;558.849;384.455;0.896331;537.245;507.985;0.916744;572.685;372.756;0.799532;552.924;543.196;0.836818;523.479;584.252;0.87321;541.281;433.516;0.848453;588.269;466.806
41;0.473769;617.629;715.64;0.671448;599.944;382.5;0.867923;629.4;519.643;0.961391;588.196;384.54;0.761432;607.859;541.31;0.842764;631.344;586.325;0.835266;625.467;433.512;0.536575;586.272;478.473;0.880967;580.42;435.425;0.879398;582.381;398.207;0.664127;539.259;715.598;0.923072;554.851;388.383;0.903466;529.504;523.543;0.894593;570.607;388.374;0.788969;549.078;543.163;0.844307;523.544;580.374;0.846254;537.316;439.317;0.828049;586.206;478.608
42;0.558161;617.624;715.632;0.900694;588.252;390.352;0.92435;619.689;527.486;0.956368;570.698;398.153;0.745466;603.978;545.17;0.839847;635.218;588.32;0.809671;619.675;439.319;0.351199;576.492;496.211;0.904164;572.617;439.338;0.882431;558.923;411.925;0.682442;541.198;715.597;0.576946;539.256;392.351;0.893706;519.684;525.558;0.916359;551.042;398.268;0.804225;543.207;545.111;0.840688;525.47;586.268;0.87908;525.58;441.285;0.727126;578.413;503.981
43;0.57465;619.539;715.632;0.913368;601.894;282.646;0.837026;635.322;429.516;0.866947;584.263;286.512;0.779244;619.522;492.247;0.767928;631.324;594.107;0.873179;633.318;337.54;0.389513;574.543;400.158;0.876001;580.38;339.483;0.864148;572.503;296.335;0.560425;539.327;715.619;0.829578;547.096;288.485;0.927808;523.59;431.53;0.879287;558.891;288.41;0.76718;541.281;492.265;0.753155;537.279;594.089;0.848971;525.634;341.436;0.83631;588.227;400.204
44;0.530715;617.58;715.638;0.877326;605.831;219.906;0.873878;637.231;364.937;0.947506;588.31;210.142;0.682761;617.652;460.908;0.796691;621.541;603.95;0.879063;635.232;286.55;0.549731;584.305;325.745;0.952076;584.347;288.443;0.824455;578.462;221.882;0.483445;541.199;715.631;0.901914;554.846;223.846;0.88033;525.561;372.765;0.94512;568.645;210.21;0.632143;541.311;460.944;0.755462;541.155;605.912;0.850591;531.434;288.545;0.796046;586.348;321.843
45;0.425536;613.725;715.643;0.896013;601.861;221.833;0.860309;635.337;359.044;0.958518;586.18;210.186;0.68204;617.539;462.864;0.750768;619.633;607.838;0.866542;633.234;288.429;0.546068;584.291;321.792;0.914845;582.324;288.562;0.873441;572.648;221.875;0.44567;539.332;715.638;0.878944;550.984;227.73;0.93538;523.659;368.884;0.912252;562.737;212.1;0.654397;541.2;462.887;0.72971;541.149;611.718;0.860318;529.434;290.412;0.830296;586.309;317.887
46;0.437315;615.678;715.641;0.686793;602.025;223.798;0.89104;635.29;364.853;0.940012;590.19;212.089;0.695809;617.538;460.864;0.766932;619.604;605.901;0.883655;633.219;288.571;0.513232;586.216;323.73;0.906527;582.344;290.394;0.890006;584.327;223.856;0.405072;539.264;715.644;0.91534;552.984;227.703;0.953067;523.625;368.832;0.990781;570.625;212.125;0.677687;541.191;462.81;0.728723;539.286;611.736;0.858807;529.456;290.391;0.853324;588.201;319.847
47;0.520545;615.691;715.637;0.684385;601.987;223.868;0.922324;635.272;366.827;0.933692;588.339;214.059;0.685923;617.526;460.921;0.807123;619.598;603.848;0.892148;633.221;290.403;0.527192;586.219;329.6;0.918357;580.383;290.463;0.900217;584.271;225.839;0.394815;539.325;715.641;0.921048;552.924;227.691;0.88717;525.504;372.743;0.916167;570.589;214.116;0.6711;541.188;462.86;0.732058;539.326;607.837;0.873543;527.487;290.496;0.823007;586.312;321.836
48;0.485393;617.594;715.637;0.627341;588.232;219.893;0.903431;633.289;368.849;0.867221;574.595;215.995;0.678683;613.736;462.86;0.814793;619.597;601.909;0.852636;621.592;288.466;0.473611;580.379;335.585;0.970928;572.55;290.501;0.961033;570.594;227.783;0.325296;537.313;715.642;0.942142;539.196;227.854;0.89897;523.6;384.554;0.924131;556.802;221.874;0.670566;539.287;462.878;0.708481;537.255;605.915;0.839602;523.604;294.41;0.810299;582.319;329.63
49;0.335838;615.602;715.647;0.767897;582.338;241.407;0.854756;621.551;390.373;0.938599;570.492;241.535;0.704755;605.91;476.614;0.793723;617.638;601.945;0.891783;617.574;304.177;0.357336;558.878;357.113;0.916702;564.724;306.232;0.918509;558.813;257.066;0.352775;535.338;715.64;0.907205;525.659;251.251;0.841604;511.815;406.018;0.897703;545.123;243.507;0.665206;533.362;476.552;0.747651;525.562;603.919;0.842782;511.809;313.96;0.915108;572.611;357.067
50;0.597866;615.632;715.632;0.904239;584.342;290.452;0.865819;619.594;443.2;0.860069;570.51;298.285;0.75466;605.916;494.19;0.796436;621.529;588.269;0.817481;617.582;347.267;0.259521;558.908;411.898;0.911496;564.762;351.202;0.831617;558.815;310.091;0.48346;541.176;715.632;0.844984;527.583;298.298;0.912242;509.94;445.273;0.828028;547.099;302.189;0.74841;537.258;494.251;0.767401;531.424;592.144;0.858369;513.773;353.168;0.969454;572.486;413.917
51;0.512583;617.617;715.635;0.896065;586.221;357.085;0.89048;619.681;498.115;0.9138;568.602;368.739;0.753357;603.987;521.647;0.830365;633.346;590.165;0.824943;617.673;404.109;0.283481;586.248;478.57;0.875297;568.573;409.944;0.951305;555.019;382.588;0.632355;543.182;715.611;0.708208;527.488;364.866;0.900662;509.878;498.148;0.923825;541.276;368.869;0.877231;541.162;523.547;0.774592;539.197;594.115;0.835761;515.734;413.792;0.918716;572.499;476.558
52;0.525871;619.54;715.628;0.947329;588.281;382.436;0.891303;625.44;523.609;0.964621;572.479;382.564;0.694229;613.715;545.109;0.805951;635.282;588.295;0.84849;621.601;431.466;0.422131;580.39;492.235;0.929887;574.516;431.559;0.871548;560.835;396.247;0.682815;541.196;715.596;0.648206;539.356;384.412;0.882701;521.569;523.605;0.932823;552.969;384.463;0.752665;549.092;543.169;0.847112;525.634;588.17;0.846359;527.498;433.454;0.791809;580.362;492.193
