,LAnkle_c,LAnkle_x,LAnkle_y,LEar_c,LEar_x,LEar_y,LElbow_c,LElbow_x,LElbow_y,LEye_c,LEye_x,LEye_y,LHip_c,LHip_x,LHip_y,LKnee_c,LKnee_x,LKnee_y,LShoulder_c,LShoulder_x,LShoulder_y,LWrist_c,LWrist_x,LWrist_y,Neck_c,Neck_x,Neck_y,Nose_c,Nose_x,Nose_y,RAnkle_c,RAnkle_x,RAnkle_y,REar_c,REar_x,REar_y,RElbow_c,RElbow_x,RElbow_y,REye_c,REye_x,REye_y,RHip_c,RHip_x,RHip_y,RKnee_c,RKnee_x,RKnee_y,RShoulder_c,RShoulder_x,RShoulder_y,RWrist_c,RWrist_x,RWrist_y
0,0.659099,594.132,715.607,0.992946,601.869,368.871,0.92082,601.94,490.259,0.915262,584.359,366.753,0.686993,603.937,535.323,0.878175,619.513,572.555,0.864194,629.382,429.569,0.400097,566.673,447.269,0.953098,586.243,429.53,0.861415,572.644,370.85,0.721304,539.26,715.6,0.77609,555.027,378.583,0.902748,541.249,476.584,0.9088,566.692,366.905,0.704479,551.043,537.274,0.83737,511.88,582.378,0.891633,541.304,429.461,0.822657,599.958,433.52
0,0.637999,592.188,715.616,0.994343,601.841,368.829,0.964458,602.0,492.222,0.903261,584.321,366.75,0.706423,603.863,531.446,0.849608,619.572,574.553,0.862107,629.353,429.549,0.360632,572.532,449.111,0.944094,586.229,429.505,0.859161,572.625,372.705,0.703398,539.232,715.602,0.761013,554.992,378.571,0.91019,541.255,478.521,0.897884,566.664,366.913,0.709604,550.993,531.427,0.832265,513.804,582.372,0.892798,541.307,429.451,0.82015,599.965,433.532
0,0.663099,594.115,715.609,1.00104,601.92,368.768,0.937572,603.922,494.173,0.92231,584.342,366.779,0.711672,603.858,537.259,0.869554,619.585,572.664,0.853985,627.44,429.543,0.384646,582.369,449.118,0.945188,586.273,429.469,0.857638,572.619,372.772,0.716734,539.225,715.599,0.587189,556.793,374.715,0.893535,541.2,480.465,0.909288,566.668,366.935,0.724054,550.987,537.252,0.835796,511.886,582.381,0.865853,543.181,427.556,0.73233,596.102,443.243
0,0.620922,592.189,715.61,0.906714,597.984,368.907,0.913476,603.847,496.143,0.939349,568.639,368.806,0.704815,603.839,533.376,0.87928,619.538,572.577,0.860238,631.274,429.567,0.338198,584.29,453.041,0.934909,588.155,427.629,0.923892,556.899,380.589,0.711152,539.29,715.602,0.0,0.0,0.0,0.858593,541.284,480.543,0.832733,554.886,370.752,0.709355,550.984,533.352,0.816954,517.713,584.278,0.843386,545.124,425.643,0.774834,596.102,445.173
0,0.663164,594.1,715.605,0.893495,594.095,370.742,0.913719,603.839,496.185,0.903168,566.659,368.867,0.697941,602.032,535.317,0.868929,619.61,572.649,0.8542,629.399,429.588,0.360977,582.387,451.081,0.943039,586.361,429.457,0.945173,556.823,382.451,0.703799,539.264,715.599,0.0,0.0,0.0,0.880626,541.241,480.492,0.742452,553.006,370.832,0.698025,550.968,533.386,0.816272,517.734,580.431,0.843099,545.125,425.662,0.768657,598.051,443.298
0,0.662246,594.089,715.61,1.006,601.995,368.79,0.900853,603.973,496.202,0.937718,586.233,366.813,0.709318,603.835,533.365,0.874878,619.604,574.499,0.845514,627.454,429.564,0.409512,590.195,449.128,0.95159,586.321,429.472,0.848265,574.504,374.691,0.701862,539.262,715.596,0.609206,556.912,374.68,0.852094,541.334,482.42,0.933413,568.638,368.727,0.716367,551.001,531.443,0.811362,517.711,582.321,0.853549,543.246,427.575,0.731796,596.07,445.149
0,0.603311,592.168,715.613,0.970512,603.917,368.879,0.895449,604.006,496.192,0.947821,588.305,366.827,0.701434,603.833,535.32,0.880182,619.572,572.573,0.86333,629.403,429.569,0.442858,588.252,449.196,0.949196,588.16,429.499,0.833542,584.239,372.767,0.689028,539.263,715.6,0.834795,558.853,372.768,0.867178,541.306,480.521,0.972396,572.497,366.904,0.722777,549.064,535.34,0.812582,517.724,582.326,0.849276,545.118,427.6,0.716129,599.946,445.171
0,0.600658,592.178,715.611,0.962784,603.866,368.885,0.889416,604.019,496.199,0.946948,588.28,366.846,0.720858,603.866,533.384,0.878617,619.554,572.626,0.848113,629.353,429.569,0.408115,578.462,456.989,0.950221,586.366,429.519,0.817968,584.25,374.663,0.692376,539.27,715.6,0.85876,558.843,374.719,0.857447,541.323,480.552,0.960866,572.504,366.947,0.726377,551.018,533.361,0.810735,515.791,580.436,0.851302,545.105,429.441,0.762389,600.014,445.174
0,0.591521,592.163,715.621,0.963891,603.871,368.858,0.909986,604.021,494.261,0.936571,588.32,366.792,0.717439,603.834,535.304,0.860226,619.556,574.506,0.84802,629.356,429.565,0.397115,586.273,449.2,0.942251,586.353,429.504,0.841307,584.283,370.858,0.705858,539.273,715.603,0.875528,558.836,374.716,0.876618,541.311,480.48,0.957401,572.515,366.884,0.727911,550.999,533.397,0.810963,517.714,580.43,0.847607,543.251,429.447,0.724055,596.093,445.135
0,0.63004,592.193,715.616,0.977637,603.951,368.814,0.920068,605.902,494.193,0.923156,588.349,366.749,0.716773,603.847,535.353,0.865327,619.604,574.516,0.87289,631.304,429.555,0.418303,578.444,453.085,0.943837,588.178,429.453,0.852623,584.299,370.838,0.695754,539.245,715.595,0.850744,558.866,374.686,0.907379,541.269,478.641,0.966706,572.513,366.861,0.728765,550.997,533.401,0.81945,515.77,580.424,0.846182,545.127,427.565,0.7594,598.028,445.137
