,LAnkle_c,LAnkle_x,LAnkle_y,LEar_c,LEar_x,LEar_y,LElbow_c,LElbow_x,LElbow_y,LEye_c,LEye_x,LEye_y,LHip_c,LHip_x,LHip_y,LKnee_c,LKnee_x,LKnee_y,LShoulder_c,LShoulder_x,LShoulder_y,LWrist_c,LWrist_x,LWrist_y,Neck_c,Neck_x,Neck_y,Nose_c,Nose_x,Nose_y,RAnkle_c,RAnkle_x,RAnkle_y,REar_c,REar_x,REar_y,RElbow_c,RElbow_x,RElbow_y,REye_c,REye_x,REye_y,RHip_c,RHip_x,RHip_y,RKnee_c,RKnee_x,RKnee_y,RShoulder_c,RShoulder_x,RShoulder_y,RWrist_c,RWrist_x,RWrist_y
0,0.548872,556.919,715.587,0.98061,619.578,368.848,0.914727,631.357,478.496,0.970673,603.959,366.825,0.8278,617.649,537.304,0.874273,617.692,588.259,0.906754,635.261,415.878,0.539523,572.529,460.947,0.981561,588.315,415.904,0.860182,596.045,372.754,0.603731,539.221,699.932,0.934826,572.516,366.863,0.882792,527.544,480.538,0.970125,586.321,366.755,0.83759,554.976,533.386,0.822153,515.718,584.346,0.908468,543.242,415.855,0.894546,588.22,449.217
0,0.524893,566.675,715.588,0.942251,625.467,368.814,0.87611,635.256,482.498,0.860138,611.769,364.846,0.867308,619.557,539.251,0.855227,617.533,588.32,0.861367,639.162,417.765,0.576704,576.511,460.848,0.93114,596.077,415.881,0.92742,601.951,368.885,0.609208,549.072,697.952,0.93093,574.593,366.873,0.907548,539.262,480.501,0.89274,590.206,362.934,0.856018,556.85,533.409,0.853951,525.588,582.377,0.901637,552.947,415.778,0.784686,594.132,449.188
0,0.565511,570.573,715.607,0.94841,629.395,368.895,0.929205,635.175,478.624,0.886983,615.656,358.996,0.84354,619.595,537.295,0.894848,603.895,588.184,0.815522,641.153,417.853,0.758788,572.6,451.1,0.941285,599.907,415.908,0.942706,602.027,366.812,0.549378,552.947,715.592,0.813261,582.373,364.923,0.923043,539.213,478.486,0.873954,592.196,355.114,0.849012,556.914,527.559,0.859477,541.15,584.323,0.933072,554.86,413.92,0.651619,598.011,447.164
0,0.563015,570.555,715.605,0.943333,621.598,368.796,0.933446,635.218,478.608,0.873785,605.92,360.987,0.834108,619.551,535.344,0.878813,601.979,586.256,0.876279,637.247,415.936,0.701518,572.539,455.041,0.939049,594.151,415.88,0.924736,599.959,368.729,0.542129,549.086,703.86,0.817517,574.602,366.847,0.898592,537.329,478.604,0.932226,588.262,358.998,0.879009,556.895,527.507,0.847293,541.233,582.357,0.914403,552.927,415.78,0.755292,592.189,447.183
1,0.632784,603.899,715.623,0.867589,611.728,378.6,0.918763,633.231,494.282,0.843778,594.147,382.43,0.780869,619.55,531.435,0.794663,609.807,576.524,0.880364,633.297,419.77,0.375974,570.58,478.65,0.945406,586.344,425.61,0.878233,586.3,390.391,0.48245,556.853,715.624,0.830322,558.929,376.669,0.860474,535.293,502.056,0.883482,574.508,382.461,0.849617,556.897,529.506,0.853348,541.13,580.42,0.907881,541.2,429.441,0.995407,588.22,464.879
1,0.663549,607.845,715.605,0.796033,603.963,431.507,0.812132,621.553,541.275,0.773218,588.305,453.024,0.660935,603.995,554.892,0.726214,615.642,596.063,0.840482,631.315,460.82,0.471849,552.969,539.227,0.881194,576.513,457.005,0.740544,578.482,462.881,0.64665,554.909,715.591,0.713956,552.996,435.437,0.760862,519.686,539.297,0.779358,570.519,453.06,0.723435,543.148,552.99,0.839849,525.577,588.246,0.849196,525.568,451.129,0.635524,588.229,537.254
1,0.481935,605.877,715.636,0.96371,602.006,304.176,0.800282,619.612,429.574,0.83501,584.36,317.801,0.701642,611.735,492.22,0.79682,601.951,605.881,0.859195,623.481,351.13,0.64595,541.227,423.644,0.938436,572.524,351.114,0.862431,572.544,331.618,0.442637,554.973,715.635,0.702286,543.249,306.051,0.812177,511.82,435.425,0.845661,558.86,317.891,0.764498,539.297,492.179,0.761139,539.179,613.737,0.86163,523.514,351.119,0.672691,588.283,413.874
1,0.613441,609.805,715.624,0.852599,596.102,216.058,0.933899,619.613,351.179,0.938498,572.602,216.005,0.636799,605.947,470.699,0.774251,605.868,602.019,0.882379,619.577,274.805,0.606569,535.354,333.573,0.905393,568.686,276.815,0.874175,560.785,229.706,0.445941,554.927,715.634,0.6206,539.176,223.792,0.920586,505.943,351.267,0.83805,551.029,218.003,0.624254,535.301,472.651,0.742959,541.283,607.856,0.801574,515.78,284.545,0.800426,574.576,313.947
1,0.548875,607.867,715.625,0.964917,603.826,212.196,0.839339,631.315,349.228,0.912705,584.268,212.021,0.619686,611.733,470.705,0.738598,613.677,602.018,0.840699,627.417,272.881,0.637803,547.114,323.755,0.942518,572.658,274.796,0.942055,570.639,225.799,0.419488,554.909,715.63,0.7844,541.309,223.788,0.903922,509.897,347.268,0.938111,556.903,212.197,0.628504,537.336,470.714,0.705049,543.21,607.865,0.878479,523.572,276.709,0.835958,588.184,306.188
1,0.591175,607.874,715.62,0.893358,607.814,214.027,0.890301,633.227,351.26,0.968188,586.338,212.165,0.655315,615.684,470.672,0.780067,615.609,601.916,0.885958,633.301,274.703,0.634607,547.089,335.46,0.905771,580.435,274.81,0.928931,572.675,227.709,0.516558,554.978,715.626,0.657476,552.942,223.765,0.893946,515.73,351.206,0.828593,562.793,215.993,0.684879,541.195,468.708,0.739948,545.153,602.016,0.851453,527.467,276.74,0.868423,590.161,308.07
